TDI Format 1.5	Temperature	Resistance
 	2.49E+2	5.00387E+0	2.954588E+2
 	2.488E+2	5.00438E+0	2.965213E+2
 	2.487E+2	5.00544E+0	2.975838E+2
 	2.486E+2	5.00565E+0	2.986464E+2
 	2.484E+2	5.00659E+0	2.997245E+2
 	2.483E+2	5.00729E+0	3.00787E+2
 	2.481E+2	5.00791E+0	3.018495E+2
 	2.48E+2	5.00891E+0	3.029121E+2
 	2.478E+2	5.0093E+0	3.039746E+2
 	2.477E+2	5.01046E+0	3.050371E+2
 	2.476E+2	5.01123E+0	3.060996E+2
 	2.474E+2	5.01184E+0	3.071621E+2
 	2.473E+2	5.01236E+0	3.082247E+2
 	2.472E+2	5.01317E+0	3.092872E+2
 	2.47E+2	5.01384E+0	3.103653E+2
 	2.469E+2	5.01432E+0	3.114279E+2
 	2.468E+2	5.01516E+0	3.124904E+2
 	2.466E+2	5.01658E+0	3.135529E+2
 	2.465E+2	5.01702E+0	3.146154E+2
 	2.464E+2	5.01742E+0	3.156779E+2
 	2.462E+2	5.01775E+0	3.167405E+2
 	2.461E+2	5.01905E+0	3.178186E+2
 	2.46E+2	5.01947E+0	3.188811E+2
 	2.458E+2	5.02061E+0	3.199436E+2
 	2.457E+2	5.02115E+0	3.210062E+2
 	2.456E+2	5.02177E+0	3.220687E+2
 	2.454E+2	5.02264E+0	3.231312E+2
 	2.453E+2	5.02311E+0	3.241937E+2
 	2.452E+2	5.02384E+0	3.252562E+2
 	2.451E+2	5.02465E+0	3.263344E+2
 	2.449E+2	5.02535E+0	3.273969E+2
 	2.448E+2	5.02576E+0	3.284594E+2
 	2.447E+2	5.02676E+0	3.29522E+2
 	2.445E+2	5.02725E+0	3.305845E+2
 	2.444E+2	5.02852E+0	3.31647E+2
 	2.443E+2	5.02857E+0	3.327095E+2
 	2.442E+2	5.02991E+0	3.337877E+2
 	2.44E+2	5.03009E+0	3.348502E+2
 	2.439E+2	5.03105E+0	3.359127E+2
 	2.438E+2	5.03186E+0	3.369752E+2
 	2.436E+2	5.03234E+0	3.380377E+2
 	2.435E+2	5.03272E+0	3.391003E+2
 	2.434E+2	5.03365E+0	3.401628E+2
 	2.433E+2	5.03441E+0	3.412253E+2
 	2.432E+2	5.03497E+0	3.422878E+2
 	2.43E+2	5.0354E+0	3.43366E+2
 	2.429E+2	5.03615E+0	3.444285E+2
 	2.428E+2	5.03709E+0	3.45491E+2
 	2.427E+2	5.03771E+0	3.465535E+2
 	2.425E+2	5.03837E+0	3.47616E+2
 	2.424E+2	5.03908E+0	3.486786E+2
 	2.423E+2	5.04E+0	3.497411E+2
 	2.422E+2	5.04005E+0	3.508192E+2
 	2.42E+2	5.04108E+0	3.518818E+2
 	2.419E+2	5.0418E+0	3.529443E+2
 	2.418E+2	5.04203E+0	3.540068E+2
 	2.417E+2	5.0427E+0	3.550693E+2
 	2.416E+2	5.04347E+0	3.561318E+2
 	2.415E+2	5.04416E+0	3.571944E+2
 	2.414E+2	5.04461E+0	3.582569E+2
 	2.412E+2	5.04564E+0	3.59335E+2
 	2.411E+2	5.04612E+0	3.603975E+2
 	2.41E+2	5.04655E+0	3.614601E+2
 	2.409E+2	5.04725E+0	3.625226E+2
 	2.408E+2	5.04803E+0	3.635851E+2
 	2.407E+2	5.04872E+0	3.646476E+2
 	2.405E+2	5.049E+0	3.657101E+2
 	2.404E+2	5.04983E+0	3.667727E+2
 	2.403E+2	5.05052E+0	3.678352E+2
 	2.402E+2	5.05115E+0	3.689133E+2
 	2.401E+2	5.05191E+0	3.699759E+2
 	2.4E+2	5.05245E+0	3.710384E+2
 	2.399E+2	5.05311E+0	3.721009E+2
 	2.397E+2	5.05383E+0	3.73179E+2
 	2.397E+2	5.05451E+0	3.742416E+2
 	2.395E+2	5.05485E+0	3.753041E+2
 	2.394E+2	5.05595E+0	3.763666E+2
 	2.393E+2	5.05665E+0	3.774291E+2
 	2.392E+2	5.05691E+0	3.785073E+2
 	2.391E+2	5.05773E+0	3.795698E+2
 	2.389E+2	5.05873E+0	3.806323E+2
 	2.388E+2	5.05897E+0	3.816948E+2
 	2.387E+2	5.05993E+0	3.827573E+2
 	2.386E+2	5.06032E+0	3.838355E+2
 	2.384E+2	5.06113E+0	3.84898E+2
 	2.383E+2	5.06199E+0	3.859605E+2
 	2.382E+2	5.06265E+0	3.870231E+2
 	2.38E+2	5.06309E+0	3.880856E+2
 	2.379E+2	5.06385E+0	3.891637E+2
 	2.378E+2	5.06479E+0	3.902262E+2
 	2.376E+2	5.06552E+0	3.913044E+2
 	2.374E+2	5.06675E+0	3.923669E+2
 	2.373E+2	5.06786E+0	3.934294E+2
 	2.371E+2	5.06895E+0	3.944919E+2
 	2.369E+2	5.06985E+0	3.955545E+2
 	2.367E+2	5.071E+0	3.96617E+2
 	2.365E+2	5.07205E+0	3.976795E+2
 	2.363E+2	5.07318E+0	3.987577E+2
 	2.361E+2	5.07374E+0	3.998202E+2
 	2.36E+2	5.07442E+0	4.008827E+2
 	2.358E+2	5.07605E+0	4.019452E+2
 	2.356E+2	5.07681E+0	4.030077E+2
 	2.354E+2	5.07788E+0	4.040703E+2
 	2.352E+2	5.07916E+0	4.051328E+2
 	2.35E+2	5.0802E+0	4.061953E+2
 	2.349E+2	5.0814E+0	4.072578E+2
 	2.347E+2	5.08225E+0	4.08336E+2
 	2.345E+2	5.08301E+0	4.093985E+2
 	2.343E+2	5.08412E+0	4.104766E+2
 	2.341E+2	5.0851E+0	4.115548E+2
 	2.34E+2	5.08627E+0	4.126173E+2
 	2.338E+2	5.08726E+0	4.136798E+2
 	2.336E+2	5.08821E+0	4.147423E+2
 	2.334E+2	5.08934E+0	4.158049E+2
 	2.333E+2	5.09033E+0	4.16883E+2
 	2.331E+2	5.09136E+0	4.179455E+2
 	2.329E+2	5.09226E+0	4.19008E+2
 	2.327E+2	5.09324E+0	4.200706E+2
 	2.326E+2	5.09432E+0	4.211331E+2
 	2.324E+2	5.09583E+0	4.222112E+2
 	2.322E+2	5.0964E+0	4.232738E+2
 	2.32E+2	5.09759E+0	4.243363E+2
 	2.318E+2	5.0982E+0	4.253988E+2
 	2.317E+2	5.09951E+0	4.264613E+2
 	2.315E+2	5.10022E+0	4.275238E+2
 	2.313E+2	5.10134E+0	4.285864E+2
 	2.311E+2	5.10227E+0	4.296645E+2
 	2.31E+2	5.10344E+0	4.30727E+2
 	2.308E+2	5.10431E+0	4.317895E+2
 	2.307E+2	5.10547E+0	4.328521E+2
 	2.305E+2	5.10664E+0	4.339146E+2
 	2.303E+2	5.10762E+0	4.349771E+2
 	2.301E+2	5.10845E+0	4.360396E+2
 	2.3E+2	5.10942E+0	4.371021E+2
 	2.298E+2	5.11074E+0	4.381803E+2
 	2.297E+2	5.11185E+0	4.392428E+2
 	2.295E+2	5.11253E+0	4.403053E+2
 	2.293E+2	5.11357E+0	4.413678E+2
 	2.291E+2	5.11471E+0	4.42446E+2
 	2.29E+2	5.11562E+0	4.435085E+2
 	2.288E+2	5.11646E+0	4.44571E+2
 	2.286E+2	5.1175E+0	4.456336E+2
 	2.285E+2	5.11834E+0	4.466961E+2
 	2.283E+2	5.11972E+0	4.477586E+2
 	2.281E+2	5.12077E+0	4.488367E+2
 	2.28E+2	5.12161E+0	4.498993E+2
 	2.278E+2	5.12271E+0	4.509618E+2
 	2.277E+2	5.12324E+0	4.520243E+2
 	2.275E+2	5.1246E+0	4.531024E+2
 	2.274E+2	5.12561E+0	4.54165E+2
 	2.272E+2	5.12644E+0	4.552275E+2
 	2.27E+2	5.12727E+0	4.5629E+2
 	2.269E+2	5.12857E+0	4.573525E+2
 	2.267E+2	5.12943E+0	4.584151E+2
 	2.266E+2	5.13036E+0	4.594932E+2
 	2.264E+2	5.13127E+0	4.605557E+2
 	2.262E+2	5.13186E+0	4.616339E+2
 	2.261E+2	5.13311E+0	4.626964E+2
 	2.259E+2	5.13407E+0	4.637589E+2
 	2.258E+2	5.13512E+0	4.648214E+2
 	2.257E+2	5.13615E+0	4.658839E+2
 	2.255E+2	5.13664E+0	4.669465E+2
 	2.253E+2	5.13748E+0	4.680246E+2
 	2.252E+2	5.1389E+0	4.690871E+2
 	2.25E+2	5.13998E+0	4.701497E+2
 	2.249E+2	5.14039E+0	4.712122E+2
 	2.248E+2	5.14148E+0	4.722903E+2
 	2.246E+2	5.14226E+0	4.733528E+2
 	2.244E+2	5.14302E+0	4.744154E+2
 	2.243E+2	5.14391E+0	4.754935E+2
 	2.241E+2	5.14486E+0	4.76556E+2
 	2.24E+2	5.14574E+0	4.776185E+2
 	2.239E+2	5.14678E+0	4.786811E+2
 	2.237E+2	5.14739E+0	4.797436E+2
 	2.236E+2	5.14868E+0	4.808061E+2
 	2.234E+2	5.14921E+0	4.818843E+2
 	2.233E+2	5.15037E+0	4.829468E+2
 	2.232E+2	5.15135E+0	4.840093E+2
 	2.23E+2	5.15213E+0	4.850718E+2
 	2.229E+2	5.15279E+0	4.8615E+2
 	2.227E+2	5.15386E+0	4.872125E+2
 	2.226E+2	5.15456E+0	4.882906E+2
 	2.225E+2	5.15564E+0	4.893531E+2
 	2.223E+2	5.15571E+0	4.904157E+2
 	2.222E+2	5.15691E+0	4.914782E+2
 	2.22E+2	5.15804E+0	4.925407E+2
 	2.219E+2	5.15884E+0	4.936032E+2
 	2.217E+2	5.15953E+0	4.946814E+2
 	2.216E+2	5.16064E+0	4.957439E+2
 	2.215E+2	5.16131E+0	4.968064E+2
 	2.213E+2	5.16216E+0	4.978689E+2
 	2.212E+2	5.16319E+0	4.989315E+2
 	2.211E+2	5.16387E+0	4.99994E+2
 	2.21E+2	5.16469E+0	5.010721E+2
 	2.208E+2	5.16557E+0	5.021346E+2
 	2.207E+2	5.16627E+0	5.031972E+2
 	2.206E+2	5.16657E+0	5.042597E+2
 	2.204E+2	5.16815E+0	5.053222E+2
 	2.203E+2	5.16863E+0	5.063847E+2
 	2.202E+2	5.16972E+0	5.074472E+2
 	2.2E+2	5.17045E+0	5.085098E+2
 	2.199E+2	5.17109E+0	5.095723E+2
 	2.198E+2	5.17184E+0	5.106504E+2
 	2.196E+2	5.17264E+0	5.117129E+2
 	2.195E+2	5.17316E+0	5.127755E+2
 	2.194E+2	5.17468E+0	5.13838E+2
 	2.193E+2	5.17548E+0	5.149005E+2
 	2.191E+2	5.17599E+0	5.159787E+2
 	2.19E+2	5.17685E+0	5.170412E+2
 	2.189E+2	5.17754E+0	5.181037E+2
 	2.188E+2	5.17816E+0	5.191662E+2
 	2.186E+2	5.17904E+0	5.202287E+2
 	2.185E+2	5.17968E+0	5.212913E+2
 	2.184E+2	5.1807E+0	5.223538E+2
 	2.183E+2	5.18149E+0	5.234163E+2
 	2.181E+2	5.18204E+0	5.244788E+2
 	2.18E+2	5.18292E+0	5.25557E+2
 	2.179E+2	5.1837E+0	5.266195E+2
 	2.177E+2	5.18439E+0	5.277133E+2
 	2.176E+2	5.1853E+0	5.287758E+2
 	2.175E+2	5.18603E+0	5.298383E+2
 	2.174E+2	5.1867E+0	5.309008E+2
 	2.172E+2	5.18763E+0	5.319633E+2
 	2.171E+2	5.18868E+0	5.330415E+2
 	2.169E+2	5.18977E+0	5.34104E+2
 	2.167E+2	5.19052E+0	5.351665E+2
 	2.165E+2	5.19211E+0	5.362447E+2
 	2.164E+2	5.19303E+0	5.373072E+2
 	2.162E+2	5.19363E+0	5.383697E+2
 	2.16E+2	5.19524E+0	5.394322E+2
 	2.158E+2	5.19622E+0	5.404948E+2
 	2.156E+2	5.19729E+0	5.415573E+2
 	2.155E+2	5.19833E+0	5.426198E+2
 	2.153E+2	5.19962E+0	5.436979E+2
 	2.151E+2	5.20079E+0	5.447605E+2
 	2.15E+2	5.20171E+0	5.45823E+2
 	2.147E+2	5.20256E+0	5.468855E+2
 	2.146E+2	5.20358E+0	5.47948E+2
 	2.144E+2	5.2048E+0	5.490262E+2
 	2.142E+2	5.20585E+0	5.500887E+2
 	2.141E+2	5.20707E+0	5.511512E+2
