TDI Format 1.5	x	y	e
	0.333167	4446.5	66.6821
	0.333878	4583.0	67.6979
	0.33459	4730.5	68.7786
	0.335301	4798.5	69.2712
	0.336013	4866.0	69.7567
	0.336724	5067.5	71.1864
	0.337436	5230.0	72.3187
	0.338147	5322.0	72.952
	0.338859	5463.5	73.9155
	0.33957	5601.5	74.8432
	0.340282	5549.5	74.495
	0.340993	5698.0	75.4851
	0.341705	5898.0	76.7984
	0.342416	5797.0	76.138
	0.343127	5967.5	77.2496
	0.343839	5951.5	77.146
	0.34455	6114.0	78.1921
	0.345262	6102.0	78.1153
	0.345973	6186.0	78.6511
	0.346685	6147.0	78.4028
	0.347396	6387.0	79.9187
	0.348108	6189.5	78.6734
	0.348819	6448.5	80.3026
	0.349531	6307.0	79.4166
	0.350242	6603.0	81.2589
	0.350953	6402.5	80.0156
	0.351665	6385.0	79.9062
	0.352376	6479.0	80.4922
	0.353088	6353.0	79.7057
	0.353799	6428.5	80.1779
	0.354511	6387.0	79.9187
	0.355222	6458.5	80.3648
	0.355933	6220.5	78.8701
	0.356645	6316.5	79.4764
	0.357356	6258.0	79.1075
	0.358068	6196.5	78.7178
	0.358779	6284.5	79.2748
	0.35949	6157.5	78.4697
	0.360202	6120.5	78.2336
	0.360913	6106.0	78.1409
	0.361625	5996.5	77.4371
	0.362336	5937.5	77.0552
	0.363047	5993.0	77.4145
	0.363759	5842.0	76.433
	0.36447	5880.0	76.6812
	0.365182	5576.0	74.6726
	0.365893	5564.5	74.5956
	0.366604	5587.0	74.7462
	0.367316	5400.0	73.4847
	0.368027	5436.5	73.7326
	0.368738	5188.0	72.0278
	0.36945	5279.5	72.6602
	0.370161	5014.0	70.8096
	0.370872	4892.0	69.9428
	0.371584	4626.0	68.0147
	0.372295	4717.0	68.6804
	0.373007	4636.5	68.0919
	0.373718	4438.5	66.6221
	0.374429	4328.5	65.7913
	0.375141	4403.5	66.3589
	0.375852	4277.5	65.4026
	0.376563	4208.0	64.8691
	0.377275	3973.5	63.0357
	0.377986	3878.5	62.2776
	0.378697	3829.5	61.8829
	0.379409	3774.0	61.4329
	0.38012	3516.5	59.3001
	0.380831	3506.0	59.2115
	0.381543	3477.5	58.9703
	0.382254	3194.0	56.5155
	0.382965	3120.0	55.857
	0.383676	2981.5	54.6031
	0.384388	2877.5	53.6423
	0.385099	2779.0	52.7162
	0.38581	2712.5	52.0817
	0.386522	2496.0	49.96
	0.387233	2365.5	48.6364
	0.387944	2295.5	47.9114
	0.388656	2244.5	47.3761
	0.389367	2161.0	46.4866
	0.390078	2148.5	46.3519
	0.390789	1868.5	43.2262
	0.391501	1884.0	43.4051
	0.392212	1827.0	42.7434
	0.392923	1772.0	42.0951
	0.393634	1603.5	40.0437
	0.394346	1485.0	38.5357
	0.395057	1374.5	37.0742
	0.395768	1375.0	37.081
	0.396479	1214.5	34.8497
	0.397191	1198.5	34.6194
	0.397902	1030.5	32.1014
	0.398613	1119.5	33.4589
	0.399324	939.5	30.6513
	0.400036	926.5	30.4385
	0.400747	835.5	28.905
	0.401458	793.0	28.1603
	0.402169	687.0	26.2107
	0.402881	655.5	25.6027
	0.403592	600.0	24.4949
	0.404303	537.0	23.1733
	0.405014	494.5	22.2374
	0.405725	433.0	20.8086
	0.406437	428.0	20.6882
	0.407148	373.0	19.3132
	0.407859	339.0	18.4119
	0.40857	276.0	16.6133
	0.409281	255.0	15.9687
	0.409993	200.0	14.1421
	0.410704	200.0	14.1421
	0.411415	185.5	13.6198
	0.412126	160.5	12.6689
	0.412837	119.5	10.9316
	0.413549	117.0	10.8167
	0.41426	96.0	9.79796
	0.414971	54.0	7.34847
	0.415682	46.0	6.78233
	0.416393	36.0	6.0
	0.417104	26.5	5.14782
	0.417816	10.0	3.16228
	0.418527	9.0	3.0
	0.419238	11.0	3.31663
	0.419949	6.0	2.44949
	0.42066	20.5	4.52769
	0.421371	22.0	4.69042
	0.422083	27.5	5.24404
	0.422794	13.5	3.67424
	0.423505	31.0	5.56776
	0.424216	33.5	5.78792
	0.424927	41.0	6.40312
	0.425638	48.0	6.9282
	0.426349	64.5	8.03119
	0.42706	84.5	9.19239
	0.427772	83.0	9.11043
	0.428483	87.0	9.32738
	0.429194	92.0	9.59166
	0.429905	154.0	12.4097
	0.430616	159.5	12.6293
	0.431327	139.5	11.811
	0.432038	198.5	14.089
	0.432749	200.5	14.1598
	0.43346	212.5	14.5774
	0.434171	254.5	15.9531
	0.434883	273.5	16.5378
	0.435594	284.5	16.8671
	0.436305	262.5	16.2019
	0.437016	325.5	18.0416
	0.437727	287.0	16.9411
	0.438438	339.5	18.4255
	0.439149	412.0	20.2978
	0.43986	370.0	19.2354
	0.440571	417.5	20.4328
	0.441282	441.0	21.0
	0.441993	455.0	21.3307
	0.442704	449.5	21.2014
	0.443415	492.5	22.1923
	0.444126	504.5	22.4611
	0.444837	527.5	22.9674
	0.445548	543.5	23.3131
	0.446259	536.5	23.1625
	0.44697	534.5	23.1193
	0.447681	539.0	23.2164
	0.448392	577.0	24.0208
	0.449103	602.5	24.5459
	0.449814	567.5	23.8223
	0.450525	604.0	24.5764
	0.451236	629.5	25.0898
	0.451947	628.5	25.0699
	0.452659	710.0	26.6458
	0.453369	717.5	26.7862
	0.45408	699.5	26.4481
	0.454791	749.5	27.377
	0.455502	672.0	25.923
	0.456213	695.0	26.3629
	0.456924	729.0	27.0
	0.457635	631.5	25.1297
	0.458346	778.0	27.8927
	0.459057	723.5	26.898
	0.459768	747.5	27.3405
	0.460479	727.5	26.9722
	0.46119	695.0	26.3629
	0.461901	741.0	27.2213
	0.462612	697.0	26.4008
	0.463323	632.5	25.1495
	0.464034	737.0	27.1477
	0.464745	690.5	26.2774
	0.465456	749.5	27.377
	0.466167	736.0	27.1293
	0.466878	750.0	27.3861
	0.467589	719.0	26.8142
	0.4683	734.0	27.0924
	0.46901	729.0	27.0
	0.469721	710.5	26.6552
	0.470432	673.0	25.9422
	0.471143	680.0	26.0768
	0.471854	664.5	25.7779
	0.472565	673.0	25.9422
	0.473276	605.0	24.5968
	0.473987	642.5	25.3476
	0.474698	662.5	25.7391
	0.475409	609.5	24.688
	0.476119	633.5	25.1694
	0.47683	586.5	24.2178
	0.477541	595.0	24.3926
	0.478252	577.0	24.0208
	0.478963	590.5	24.3002
	0.479674	556.5	23.5903
	0.480385	544.5	23.3345
	0.481096	539.0	23.2164
	0.481806	541.0	23.2594
	0.482517	507.5	22.5278
	0.483228	550.5	23.4627
	0.483939	488.5	22.102
	0.48465	430.0	20.7364
	0.485361	452.5	21.2721
	0.486071	474.5	21.783
	0.486782	435.0	20.8566
	0.487493	413.0	20.3224
	0.488204	358.5	18.9341
	0.488915	357.0	18.8944
	0.489626	385.0	19.6214
	0.490336	356.5	18.8812
	0.491047	338.5	18.3984
	0.491758	321.0	17.9165
	0.492469	330.5	18.1797
	0.49318	285.0	16.8819
	0.49389	298.0	17.2627
	0.494601	271.0	16.4621
	0.495312	265.0	16.2788
	0.496023	265.5	16.2942
	0.496733	258.5	16.0779
	0.497444	257.0	16.0312
	0.498155	222.5	14.9164
	0.498866	215.0	14.6629
	0.499576	248.0	15.748
	0.500287	195.0	13.9642
	0.500998	185.0	13.6015
	0.501709	194.5	13.9463
	0.502419	189.5	13.7659
	0.50313	173.0	13.153
	0.503841	162.5	12.7476
	0.504552	157.5	12.5499
	0.505262	153.5	12.3895
	0.505973	136.0	11.6619
	0.506684	134.0	11.5758
	0.507395	110.0	10.4881
	0.508105	94.0	9.69536
	0.508816	113.0	10.6301
	0.509527	105.0	10.247
	0.510237	98.0	9.8995
	0.510948	92.5	9.61769
	0.511659	103.0	10.1489
	0.512369	88.0	9.38083
	0.51308	56.5	7.51665
	0.513791	80.0	8.94427
	0.514502	64.0	8.0
	0.515212	75.5	8.68907
	0.515923	62.5	7.90569
	0.516634	71.0	8.42615
	0.517344	48.0	6.9282
	0.518055	67.5	8.21584
	0.518766	49.5	7.03562
	0.519476	55.0	7.4162
	0.520187	61.5	7.84219
	0.520897	69.0	8.30662
	0.521608	57.0	7.54983
