TDI Format 1.5	Offset	Absorption::R	Absorption::Theta	Absorption::X	Absorption::Y	iterator	multi[0]:iterator	multi[0]:y	multi[1]:iterator	multi[1]:y	multi[1]:Gate Readback std	multi[1]:Gate Readback
 	0E+0	8.429419939E-7	-2.4444E+1	7.586477945E-7	-3.793246043E-7	2.2606E+4	1.3E+1	8E+9	9.71E+2	2.594481104E-2	9.249440495E-3	3.330033218E+0
 	0E+0	1.011528978E-6	-1.8852E+1	9.272361932E-7	-3.371767975E-7	2.2607E+4	1.3E+1	8E+9	9.72E+2	2.624475105E-2	9.276737334E-3	3.330076024E+0
 	0E+0	1.011528978E-6	-3.0732E+1	8.429419939E-7	-5.479115889E-7	2.2608E+4	1.3E+1	8E+9	9.73E+2	2.654469106E-2	9.278557903E-3	3.330094509E+0
 	0E+0	8.429419939E-7	-1.2528E+1	8.429419939E-7	-2.107362056E-7	2.2609E+4	1.3E+1	8E+9	9.74E+2	2.684463107E-2	9.368585626E-3	3.330154827E+0
 	0E+0	8.007956013E-7	-8.364E+0	8.007956013E-7	-1.264411577E-7	2.261E+4	1.3E+1	8E+9	9.75E+2	2.714457109E-2	9.291161214E-3	3.330021219E+0
 	0E+0	1.095823178E-6	-2.2716E+1	1.011528978E-6	-4.636173895E-7	2.2611E+4	1.3E+1	8E+9	9.76E+2	2.74445111E-2	9.308181454E-3	3.329949875E+0
 	0E+0	1.011528978E-6	-2.4228E+1	9.272361932E-7	-4.636173895E-7	2.2612E+4	1.3E+1	8E+9	9.77E+2	2.774445111E-2	9.293907815E-3	3.329989114E+0
 	0E+0	8.429419939E-7	-1.4034E+1	8.429419939E-7	-2.528825982E-7	2.2613E+4	1.3E+1	8E+9	9.78E+2	2.804439112E-2	9.219590862E-3	3.329960252E+0
 	0E+0	6.322057883E-7	8.13E+0	6.322057883E-7	8.429434081E-8	2.2614E+4	1.3E+1	8E+9	9.79E+2	2.834433113E-2	9.259730827E-3	3.330041001E+0
 	0E+0	8.007956013E-7	-1.638E+0	8.007956013E-7	-4.214709969E-8	2.2615E+4	1.3E+1	8E+9	9.8E+2	2.864427115E-2	9.358329594E-3	3.330005329E+0
 	0E+0	9.693825858E-7	-2.6562E+1	8.850883864E-7	-4.636173895E-7	2.2616E+4	1.3E+1	8E+9	9.81E+2	2.894421116E-2	9.34630575E-3	3.330231036E+0
 	0E+0	1.095823178E-6	-2.3838E+1	1.011528978E-6	-4.636173895E-7	2.2617E+4	1.3E+1	8E+9	9.82E+2	2.924415117E-2	9.34783617E-3	3.330125641E+0
 	0E+0	6.322057883E-7	-2.2932E+1	5.900579815E-7	-2.950289907E-7	2.2618E+4	1.3E+1	8E+9	9.83E+2	2.954409118E-2	9.245963923E-3	3.330263789E+0
 	0E+0	5.057651963E-7	7.764E+0	5.057651963E-7	4.214709969E-8	2.2619E+4	1.3E+1	8E+9	9.84E+2	2.984403119E-2	9.339024438E-3	3.330360104E+0
 	0E+0	5.479115889E-7	-2.7642E+1	4.636173895E-7	-2.950289907E-7	2.262E+4	1.3E+1	8E+9	9.85E+2	3.014397121E-2	9.337534208E-3	3.330285841E+0
 	0E+0	6.322057883E-7	-3.4824E+1	5.057651963E-7	-3.793246043E-7	2.2621E+4	1.3E+1	8E+9	9.86E+2	3.044391122E-2	9.271041687E-3	3.330331891E+0
 	0E+0	4.214709969E-7	-5.631E+1	2.107362056E-7	-3.793246043E-7	2.2622E+4	1.3E+1	8E+9	9.87E+2	3.074385123E-2	9.218086241E-3	3.330477822E+0
 	0E+0	5.057651963E-7	-3.369E+1	4.214709969E-7	-2.950289907E-7	2.2623E+4	1.3E+1	8E+9	9.88E+2	3.104379124E-2	9.207932799E-3	3.33030238E+0
 	0E+0	7.165014019E-7	-1.9026E+1	6.743550093E-7	-2.528825982E-7	2.2624E+4	1.3E+1	8E+9	9.89E+2	3.134373125E-2	9.298430758E-3	3.330235252E+0
 	0E+0	9.693825858E-7	-2.4102E+1	8.850883864E-7	-4.214709969E-7	2.2625E+4	1.3E+1	8E+9	9.9E+2	3.164367127E-2	9.269742185E-3	3.330367887E+0
 	0E+0	1.13796957E-6	-3.2382E+1	9.272361932E-7	-6.322057883E-7	2.2626E+4	1.3E+1	8E+9	9.91E+2	3.194361128E-2	9.289593619E-3	3.330318919E+0
 	0E+0	8.429419939E-7	-2.7258E+1	7.586477945E-7	-4.214709969E-7	2.2627E+4	1.3E+1	8E+9	9.92E+2	3.224355129E-2	9.282338611E-3	3.33029557E+0
 	0E+0	4.214709969E-7	-3.6252E+1	3.371767975E-7	-2.950289907E-7	2.2628E+4	1.3E+1	8E+9	9.93E+2	3.25434913E-2	9.306672633E-3	3.330374373E+0
 	0E+0	5.900579815E-7	-4.0362E+1	4.636173895E-7	-4.214709969E-7	2.2629E+4	1.3E+1	8E+9	9.94E+2	3.284343131E-2	9.25826982E-3	3.330378913E+0
 	0E+0	5.057651963E-7	-3.0966E+1	4.636173895E-7	-2.950289907E-7	2.263E+4	1.3E+1	8E+9	9.95E+2	3.314337133E-2	9.261877546E-3	3.330400965E+0
 	0E+0	8.850883864E-7	-3.4506E+1	7.165014019E-7	-5.479115889E-7	2.2631E+4	1.3E+1	8E+9	9.96E+2	3.344331134E-2	9.384502181E-3	3.330344538E+0
 	0E+0	1.390856411E-6	-5.6574E+1	7.586477945E-7	-1.180117377E-6	2.2632E+4	1.3E+1	8E+9	9.97E+2	3.374325135E-2	9.32594748E-3	3.330479443E+0
 	0E+0	1.13796957E-6	-7.7094E+1	2.528825982E-7	-1.13796957E-6	2.2633E+4	1.3E+1	8E+9	9.98E+2	3.404319136E-2	9.300782081E-3	3.330348105E+0
 	0E+0	5.057651963E-7	-5.7726E+1	2.528825982E-7	-4.636173895E-7	2.2634E+4	1.3E+1	8E+9	9.99E+2	3.434313137E-2	9.308529553E-3	3.330342917E+0
 	0E+0	4.636173895E-7	-3.7404E+1	3.793246043E-7	-3.371767975E-7	2.2635E+4	1.3E+1	8E+9	1E+3	3.464307139E-2	9.278686249E-3	3.33036205E+0
 	0E+0	6.743550093E-7	-2.145E+1	6.322057883E-7	-2.950289907E-7	2.2636E+4	1.3E+1	8E+9	1.001E+3	3.49430114E-2	9.288290185E-3	3.330344538E+0
 	0E+0	5.057651963E-7	-2.3202E+1	4.636173895E-7	-2.528825982E-7	2.2637E+4	1.3E+1	8E+9	1.002E+3	3.524295141E-2	9.35523042E-3	3.330354591E+0
 	0E+0	2.528825982E-7	-7.002E+1	8.429434081E-8	-2.950289907E-7	2.2638E+4	1.3E+1	8E+9	1.003E+3	3.554289142E-2	9.28938352E-3	3.330333836E+0
 	0E+0	6.322057883E-7	-5.5716E+1	3.371767975E-7	-5.479115889E-7	2.2639E+4	1.3E+1	8E+9	1.004E+3	3.584283143E-2	9.297208202E-3	3.330287787E+0
 	0E+0	6.743550093E-7	-1.7244E+1	6.743550093E-7	-2.528825982E-7	2.264E+4	1.3E+1	8E+9	1.005E+3	3.614277145E-2	9.278494827E-3	3.330301083E+0
 	0E+0	8.429419939E-7	1.2876E+1	8.007956013E-7	1.685883988E-7	2.2641E+4	1.3E+1	8E+9	1.006E+3	3.644271146E-2	9.32816436E-3	3.330134073E+0
 	0E+0	8.007956013E-7	1.998E+1	7.586477945E-7	2.528825982E-7	2.2642E+4	1.3E+1	8E+9	1.007E+3	3.674265147E-2	9.293545638E-3	3.330213848E+0
 	0E+0	5.479115889E-7	1.8432E+1	5.479115889E-7	1.685883988E-7	2.2643E+4	1.3E+1	8E+9	1.008E+3	3.704259148E-2	9.323502213E-3	3.330209308E+0
 	0E+0	8.007956013E-7	-1.0308E+1	7.586477945E-7	-1.685883988E-7	2.2644E+4	1.3E+1	8E+9	1.009E+3	3.734253149E-2	9.324599876E-3	3.330162935E+0
 	0E+0	5.479115889E-7	-2.8608E+1	5.057651963E-7	-2.950289907E-7	2.2645E+4	1.3E+1	8E+9	1.01E+3	3.764247151E-2	9.334371431E-3	3.330263789E+0
 	0E+0	5.900579815E-7	-6.582E+0	5.900579815E-7	-8.429434081E-8	2.2646E+4	1.3E+1	8E+9	1.011E+3	3.794241152E-2	9.358679377E-3	3.330393506E+0
 	0E+0	5.057651963E-7	-2.3202E+1	4.636173895E-7	-2.528825982E-7	2.2647E+4	1.3E+1	8E+9	1.012E+3	3.824235153E-2	9.305943133E-3	3.33029557E+0
 	0E+0	2.950289907E-7	-2.4774E+1	2.950289907E-7	-1.685883988E-7	2.2648E+4	1.3E+1	8E+9	1.013E+3	3.854229154E-2	9.307963502E-3	3.33032054E+0
 	0E+0	6.743550093E-7	-1.782E+1	6.322057883E-7	-2.528825982E-7	2.2649E+4	1.3E+1	8E+9	1.014E+3	3.884223155E-2	9.288244232E-3	3.330470688E+0
 	0E+0	5.057651963E-7	-3.0066E+1	4.214709969E-7	-2.950289907E-7	2.265E+4	1.3E+1	8E+9	1.015E+3	3.914217157E-2	9.291019569E-3	3.330524844E+0
 	0E+0	3.371767975E-7	-7.122E+0	3.371767975E-7	-8.429434081E-8	2.2651E+4	1.3E+1	8E+9	1.016E+3	3.944211158E-2	9.251416912E-3	3.330494037E+0
 	0E+0	4.636173895E-7	-2.6562E+1	4.214709969E-7	-2.528825982E-7	2.2652E+4	1.3E+1	8E+9	1.017E+3	3.974205159E-2	9.286111596E-3	3.330574137E+0
 	0E+0	8.007956013E-7	-4.8504E+1	5.057651963E-7	-6.322057883E-7	2.2653E+4	1.3E+1	8E+9	1.018E+3	4.00419916E-2	9.343637577E-3	3.330614025E+0
 	0E+0	9.272361932E-7	-3.408E+1	8.007956013E-7	-5.479115889E-7	2.2654E+4	1.3E+1	8E+9	1.019E+3	4.034193161E-2	9.336100897E-3	3.330629915E+0
 	0E+0	8.429419939E-7	-2.4444E+1	7.586477945E-7	-3.793246043E-7	2.2655E+4	1.3E+1	8E+9	1.02E+3	4.064187163E-2	9.33655967E-3	3.330689585E+0
 	0E+0	1.095823178E-6	-2.3358E+1	1.011528978E-6	-4.636173895E-7	2.2656E+4	1.3E+1	8E+9	1.021E+3	4.094181164E-2	9.283635562E-3	3.330659425E+0
 	0E+0	5.479115889E-7	-2.3502E+1	5.057651963E-7	-2.528825982E-7	2.2657E+4	1.3E+1	8E+9	1.022E+3	4.124175165E-2	9.198269517E-3	3.330461607E+0
 	0E+0	4.214709969E-7	-3.6252E+1	3.371767975E-7	-2.950289907E-7	2.2658E+4	1.3E+1	8E+9	1.023E+3	4.154169166E-2	9.374946947E-3	3.330618565E+0
 	0E+0	2.107362056E-7	-4.5E+1	1.264411577E-7	-1.685883988E-7	2.2659E+4	1.3E+1	8E+9	1.024E+3	4.184163167E-2	9.252882125E-3	3.330698016E+0
 	0E+0	3.371767975E-7	-7.4052E+1	8.429434081E-8	-3.371767975E-7	2.266E+4	1.3E+1	8E+9	1.025E+3	4.214157169E-2	9.375379654E-3	3.330636725E+0
 	0E+0	5.900579815E-7	-5.7528E+1	2.950289907E-7	-5.479115889E-7	2.2661E+4	1.3E+1	8E+9	1.026E+3	4.24415117E-2	9.307898216E-3	3.33038702E+0
 	0E+0	5.057651963E-7	-4.1424E+1	3.793246043E-7	-3.793246043E-7	2.2662E+4	1.3E+1	8E+9	1.027E+3	4.274145171E-2	9.320113347E-3	3.330525493E+0
 	0E+0	7.586477945E-7	-2.7348E+1	6.743550093E-7	-3.793246043E-7	2.2663E+4	1.3E+1	8E+9	1.028E+3	4.304139172E-2	9.191422028E-3	3.330461283E+0
 	0E+0	5.479115889E-7	-4.5E+1	4.214709969E-7	-4.636173895E-7	2.2664E+4	1.3E+1	8E+9	1.029E+3	4.334133173E-2	9.355658172E-3	3.330404208E+0
 	0E+0	6.743550093E-7	-6.6798E+1	2.528825982E-7	-6.743550093E-7	2.2665E+4	1.3E+1	8E+9	1.03E+3	4.364127175E-2	9.417954186E-3	3.330389615E+0
 	0E+0	7.165014019E-7	-7.0974E+1	2.107362056E-7	-7.165014019E-7	2.2666E+4	1.3E+1	8E+9	1.031E+3	4.394121176E-2	9.324959983E-3	3.330238819E+0
 	0E+0	6.743550093E-7	-2.145E+1	6.322057883E-7	-2.950289907E-7	2.2667E+4	1.3E+1	8E+9	1.032E+3	4.424115177E-2	9.280202417E-3	3.330346484E+0
 	0E+0	3.793246043E-7	3.366E+0	3.793246043E-7	0E+0	2.2668E+4	1.3E+1	8E+9	1.033E+3	4.454109178E-2	9.325969604E-3	3.33023817E+0
 	0E+0	6.743550093E-7	-4.7724E+1	4.636173895E-7	-5.479115889E-7	2.2669E+4	1.3E+1	8E+9	1.034E+3	4.484103179E-2	9.206772273E-3	3.330332215E+0
 	0E+0	8.850883864E-7	-6.8196E+1	2.950289907E-7	-8.429419939E-7	2.267E+4	1.3E+1	8E+9	1.035E+3	4.514097181E-2	9.278484293E-3	3.330346159E+0
 	0E+0	8.429419939E-7	-8.841E+1	0E+0	-8.850883864E-7	2.2671E+4	1.3E+1	8E+9	1.036E+3	4.544091182E-2	9.393172545E-3	3.330246602E+0
 	0E+0	8.850883864E-7	-8.4144E+1	8.429434081E-8	-9.272361932E-7	2.2672E+4	1.3E+1	8E+9	1.037E+3	4.574085183E-2	9.296277148E-3	3.330340322E+0
 	0E+0	5.057651963E-7	-7.7196E+1	8.429434081E-8	-5.479115889E-7	2.2673E+4	1.3E+1	8E+9	1.038E+3	4.604079184E-2	9.298611813E-3	3.330406153E+0
 	0E+0	1.685883988E-7	-4.5E+1	1.264411577E-7	-1.685883988E-7	2.2674E+4	1.3E+1	8E+9	1.039E+3	4.634073185E-2	9.362329823E-3	3.330513818E+0
 	0E+0	2.950289907E-7	-3.369E+1	2.528825982E-7	-2.107362056E-7	2.2675E+4	1.3E+1	8E+9	1.04E+3	4.664067187E-2	9.318802585E-3	3.330438583E+0
 	0E+0	3.793246043E-7	-3.0966E+1	3.371767975E-7	-2.528825982E-7	2.2676E+4	1.3E+1	8E+9	1.041E+3	4.694061188E-2	9.295955481E-3	3.330644184E+0
 	0E+0	5.900579815E-7	-4.398E+0	5.900579815E-7	-8.429434081E-8	2.2677E+4	1.3E+1	8E+9	1.042E+3	4.724055189E-2	9.20926057E-3	3.330550463E+0
 	0E+0	6.743550093E-7	0E+0	6.743550093E-7	0E+0	2.2678E+4	1.3E+1	8E+9	1.043E+3	4.75404919E-2	9.262636031E-3	3.33059781E+0
 	0E+0	5.900579815E-7	-2.202E+0	5.900579815E-7	-4.214709969E-8	2.2679E+4	1.3E+1	8E+9	1.044E+3	4.784043191E-2	9.302129632E-3	3.330476849E+0
 	0E+0	5.479115889E-7	-3.4992E+1	4.636173895E-7	-3.371767975E-7	2.268E+4	1.3E+1	8E+9	1.045E+3	4.814037193E-2	9.305211116E-3	3.330647102E+0
 	0E+0	4.636173895E-7	-7.5966E+1	8.429434081E-8	-5.057651963E-7	2.2681E+4	1.3E+1	8E+9	1.046E+3	4.844031194E-2	9.35257673E-3	3.33066656E+0
 	0E+0	5.479115889E-7	-1.19748E+2	-2.950289907E-7	-5.057651963E-7	2.2682E+4	1.3E+1	8E+9	1.047E+3	4.874025195E-2	9.315552305E-3	3.330517386E+0
 	0E+0	2.528825982E-7	-1.75236E+2	-2.950289907E-7	-4.214709969E-8	2.2683E+4	1.3E+1	8E+9	1.048E+3	4.904019196E-2	9.314595334E-3	3.330602026E+0
 	0E+0	4.214709969E-7	1.61568E+2	-4.636173895E-7	1.264411577E-7	2.2684E+4	1.3E+1	8E+9	1.049E+3	4.934013197E-2	9.313132325E-3	3.330673046E+0
 	0E+0	3.793246043E-7	9.6708E+1	-8.429434081E-8	3.793246043E-7	2.2685E+4	1.3E+1	8E+9	1.05E+3	4.964007199E-2	9.359541642E-3	3.330594567E+0
 	0E+0	3.793246043E-7	1.22736E+2	-2.528825982E-7	2.950289907E-7	2.2686E+4	1.3E+1	8E+9	1.051E+3	4.9940012E-2	9.285498688E-3	3.330738877E+0
 	0E+0	1.264411577E-7	-1.4631E+2	-1.685883988E-7	-1.264411577E-7	2.2687E+4	1.3E+1	8E+9	1.052E+3	5.023995201E-2	9.303351152E-3	3.330746336E+0
 	0E+0	2.528825982E-7	-1.38816E+2	-2.107362056E-7	-1.685883988E-7	2.2688E+4	1.3E+1	8E+9	1.053E+3	5.053989202E-2	9.329494615E-3	3.330825463E+0
 	0E+0	2.107362056E-7	-3.687E+1	1.685883988E-7	-1.685883988E-7	2.2689E+4	1.3E+1	8E+9	1.054E+3	5.083983203E-2	9.316727016E-3	3.330810221E+0
 	0E+0	4.214709969E-7	-9.897E+1	-8.429434081E-8	-4.636173895E-7	2.269E+4	1.3E+1	8E+9	1.055E+3	5.113977205E-2	9.321530167E-3	3.33084492E+0
 	0E+0	8.429419939E-7	-7.869E+1	1.264411577E-7	-8.429419939E-7	2.2691E+4	1.3E+1	8E+9	1.056E+3	5.143971206E-2	9.333231229E-3	3.330881241E+0
 	0E+0	6.322057883E-7	-7.02E+1	2.107362056E-7	-5.900579815E-7	2.2692E+4	1.3E+1	8E+9	1.057E+3	5.173965207E-2	9.359659965E-3	3.330850758E+0
 	0E+0	5.057651963E-7	-4.1424E+1	3.793246043E-7	-3.793246043E-7	2.2693E+4	1.3E+1	8E+9	1.058E+3	5.203959208E-2	9.299747024E-3	3.330834219E+0
 	0E+0	5.479115889E-7	-1.4622E+1	5.057651963E-7	-1.685883988E-7	2.2694E+4	1.3E+1	8E+9	1.059E+3	5.233953209E-2	9.304844295E-3	3.330821571E+0
 	0E+0	4.636173895E-7	-2.7756E+1	4.214709969E-7	-2.528825982E-7	2.2695E+4	1.3E+1	8E+9	1.06E+3	5.263947211E-2	9.228426046E-3	3.330817031E+0
 	0E+0	4.636173895E-7	-2.3964E+1	4.214709969E-7	-2.107362056E-7	2.2696E+4	1.3E+1	8E+9	1.061E+3	5.293941212E-2	9.24319097E-3	3.331012579E+0
 	0E+0	5.900579815E-7	-8.748E+0	5.900579815E-7	-1.264411577E-7	2.2697E+4	1.3E+1	8E+9	1.062E+3	5.323935213E-2	9.276875793E-3	3.330893564E+0
 	0E+0	5.479115889E-7	2.556E+1	5.057651963E-7	2.528825982E-7	2.2698E+4	1.3E+1	8E+9	1.063E+3	5.353929214E-2	9.341927863E-3	3.330685693E+0
 	0E+0	1.264411577E-7	4.5E+1	8.429434081E-8	8.429434081E-8	2.2699E+4	1.3E+1	8E+9	1.064E+3	5.383923215E-2	9.235286068E-3	3.330752173E+0
 	0E+0	1.685883988E-7	1.13202E+2	-8.429434081E-8	1.264411577E-7	2.27E+4	1.3E+1	8E+9	1.065E+3	5.413917217E-2	9.343563443E-3	3.330729472E+0
 	0E+0	3.371767975E-7	9.7122E+1	-8.429434081E-8	3.371767975E-7	2.2701E+4	1.3E+1	8E+9	1.066E+3	5.443911218E-2	9.383549836E-3	3.330864054E+0
 	0E+0	2.107362056E-7	2.0556E+1	1.685883988E-7	4.214709969E-8	2.2702E+4	1.3E+1	8E+9	1.067E+3	5.473905219E-2	9.320284645E-3	3.330823193E+0
 	0E+0	1.264411577E-7	-1.8432E+1	1.264411577E-7	-8.429434081E-8	2.2703E+4	1.3E+1	8E+9	1.068E+3	5.50389922E-2	9.274611422E-3	3.330862108E+0
 	0E+0	4.636173895E-7	-1.21428E+2	-2.950289907E-7	-4.636173895E-7	2.2704E+4	1.3E+1	8E+9	1.069E+3	5.533893221E-2	9.326690579E-3	3.330840705E+0
 	0E+0	3.371767975E-7	-1.21608E+2	-2.107362056E-7	-3.371767975E-7	2.2705E+4	1.3E+1	8E+9	1.07E+3	5.563887223E-2	9.312187405E-3	3.331013228E+0
 	0E+0	2.528825982E-7	-8.5236E+1	0E+0	-2.950289907E-7	2.2706E+4	1.3E+1	8E+9	1.071E+3	5.593881224E-2	9.374345506E-3	3.330896807E+0
 	0E+0	3.371767975E-7	-9.7122E+1	-8.429434081E-8	-3.793246043E-7	2.2707E+4	1.3E+1	8E+9	1.072E+3	5.623875225E-2	9.29523287E-3	3.330898429E+0
 	0E+0	2.107362056E-7	1.8E+2	-2.528825982E-7	0E+0	2.2708E+4	1.3E+1	8E+9	1.073E+3	5.653869226E-2	9.30174775E-3	3.330946424E+0
 	0E+0	2.528825982E-7	6.8196E+1	8.429434081E-8	2.107362056E-7	2.2709E+4	1.3E+1	8E+9	1.074E+3	5.683863227E-2	9.301315301E-3	3.330960368E+0
 	0E+0	1.264411577E-7	1.05948E+2	-8.429434081E-8	1.264411577E-7	2.271E+4	1.3E+1	8E+9	1.075E+3	5.713857229E-2	9.282759669E-3	3.330933776E+0
 	0E+0	4.636173895E-7	-1.4478E+2	-4.214709969E-7	-2.950289907E-7	2.2711E+4	1.3E+1	8E+9	1.076E+3	5.74385123E-2	9.332168028E-3	3.330798547E+0
 	0E+0	3.793246043E-7	-9.3366E+1	-4.214709969E-8	-4.214709969E-7	2.2712E+4	1.3E+1	8E+9	1.077E+3	5.773845231E-2	9.257562007E-3	3.330926318E+0
 	0E+0	2.528825982E-7	-2.6562E+1	2.107362056E-7	-1.264411577E-7	2.2713E+4	1.3E+1	8E+9	1.078E+3	5.803839232E-2	9.274904621E-3	3.330994419E+0
 	0E+0	2.107362056E-7	1.30602E+2	-1.685883988E-7	1.264411577E-7	2.2714E+4	1.3E+1	8E+9	1.079E+3	5.833833233E-2	9.338929595E-3	3.330943181E+0
 	0E+0	2.107362056E-7	-1.47996E+2	-2.107362056E-7	-1.264411577E-7	2.2715E+4	1.3E+1	8E+9	1.08E+3	5.863827235E-2	9.327131281E-3	3.330711636E+0
 	0E+0	8.429434081E-8	1.53438E+2	-1.264411577E-7	4.214709969E-8	2.2716E+4	1.3E+1	8E+9	1.081E+3	5.893821236E-2	9.267003013E-3	3.33081087E+0
 	0E+0	1.685883988E-7	1.56798E+2	-1.685883988E-7	4.214709969E-8	2.2717E+4	1.3E+1	8E+9	1.082E+3	5.923815237E-2	9.294402893E-3	3.33090005E+0
 	0E+0	4.214709969E-8	4.5E+1	4.214709969E-8	4.214709969E-8	2.2718E+4	1.3E+1	8E+9	1.083E+3	5.953809238E-2	9.302993219E-3	3.330875404E+0
 	0E+0	1.685883988E-7	1.04034E+2	-8.429434081E-8	1.685883988E-7	2.2719E+4	1.3E+1	8E+9	1.084E+3	5.983803239E-2	9.265560302E-3	3.330841678E+0
 	0E+0	4.214709969E-8	-9E+1	0E+0	-8.429434081E-8	2.272E+4	1.3E+1	8E+9	1.085E+3	6.013797241E-2	9.330867714E-3	3.330803735E+0
 	0E+0	2.528825982E-7	-9.9462E+1	-8.429434081E-8	-2.950289907E-7	2.2721E+4	1.3E+1	8E+9	1.086E+3	6.043791242E-2	9.34036365E-3	3.330718122E+0
 	0E+0	6.743550093E-7	-1.26468E+2	-4.214709969E-7	-5.479115889E-7	2.2722E+4	1.3E+1	8E+9	1.087E+3	6.073785243E-2	9.286584377E-3	3.330865351E+0
 	0E+0	2.107362056E-7	-1.67472E+2	-2.528825982E-7	-8.429434081E-8	2.2723E+4	1.3E+1	8E+9	1.088E+3	6.103779244E-2	9.30072563E-3	3.330761577E+0
 	0E+0	2.107362056E-7	1.53438E+2	-2.107362056E-7	8.429434081E-8	2.2724E+4	1.3E+1	8E+9	1.089E+3	6.133773245E-2	9.295687606E-3	3.3308313E+0
 	0E+0	8.429434081E-8	-7.5966E+1	0E+0	-1.264411577E-7	2.2725E+4	1.3E+1	8E+9	1.09E+3	6.163767247E-2	9.29318556E-3	3.330736607E+0
 	0E+0	2.950289907E-7	1.28658E+2	-2.107362056E-7	2.107362056E-7	2.2726E+4	1.3E+1	8E+9	1.091E+3	6.193761248E-2	9.332728618E-3	3.330828706E+0
 	0E+0	4.214709969E-7	1.35E+2	-3.371767975E-7	2.950289907E-7	2.2727E+4	1.3E+1	8E+9	1.092E+3	6.223755249E-2	9.313136123E-3	3.33104209E+0
 	0E+0	3.371767975E-7	1.11804E+2	-1.685883988E-7	3.371767975E-7	2.2728E+4	1.3E+1	8E+9	1.093E+3	6.25374925E-2	9.338200473E-3	3.33102847E+0
 	0E+0	2.950289907E-7	-1.14774E+2	-1.685883988E-7	-3.371767975E-7	2.2729E+4	1.3E+1	8E+9	1.094E+3	6.283743251E-2	9.371639446E-3	3.330861784E+0
 	0E+0	5.057651963E-7	-1.29804E+2	-3.793246043E-7	-4.636173895E-7	2.273E+4	1.3E+1	8E+9	1.095E+3	6.313737253E-2	9.287003196E-3	3.33088189E+0
 	0E+0	2.107362056E-7	-1.59444E+2	-2.107362056E-7	-8.429434081E-8	2.2731E+4	1.3E+1	8E+9	1.096E+3	6.343731254E-2	9.360976729E-3	3.330906212E+0
 	0E+0	3.371767975E-7	1.04934E+2	-1.264411577E-7	3.371767975E-7	2.2732E+4	1.3E+1	8E+9	1.097E+3	6.373725255E-2	9.339754319E-3	3.330839732E+0
 	0E+0	2.107362056E-7	1.59444E+2	-2.107362056E-7	4.214709969E-8	2.2733E+4	1.3E+1	8E+9	1.098E+3	6.403719256E-2	9.289031219E-3	3.330917238E+0
 	0E+0	2.528825982E-7	-1.69692E+2	-2.950289907E-7	-8.429434081E-8	2.2734E+4	1.3E+1	8E+9	1.099E+3	6.433713257E-2	9.259496836E-3	3.330910752E+0
 	0E+0	1.264411577E-7	0E+0	1.264411577E-7	0E+0	2.2735E+4	1.3E+1	8E+9	1.1E+3	6.463707259E-2	9.31695426E-3	3.330974961E+0
 	0E+0	1.685883988E-7	1.19748E+2	-1.264411577E-7	1.264411577E-7	2.2736E+4	1.3E+1	8E+9	1.101E+3	6.49370126E-2	9.354548743E-3	3.331115056E+0
 	0E+0	6.743550093E-7	1.49034E+2	-5.900579815E-7	3.371767975E-7	2.2737E+4	1.3E+1	8E+9	1.102E+3	6.523695261E-2	9.321638564E-3	3.331004796E+0
 	0E+0	5.057651963E-7	1.67196E+2	-5.479115889E-7	8.429434081E-8	2.2738E+4	1.3E+1	8E+9	1.103E+3	6.553689262E-2	9.259605772E-3	3.331007391E+0
 	0E+0	2.950289907E-7	1.75914E+2	-3.371767975E-7	0E+0	2.2739E+4	1.3E+1	8E+9	1.104E+3	6.583683263E-2	9.334083242E-3	3.331093004E+0
 	0E+0	1.264411577E-7	1.05948E+2	-8.429434081E-8	1.264411577E-7	2.274E+4	1.3E+1	8E+9	1.105E+3	6.613677265E-2	9.368234457E-3	3.331125757E+0
 	0E+0	4.214709969E-7	1.45494E+2	-3.793246043E-7	2.528825982E-7	2.2741E+4	1.3E+1	8E+9	1.106E+3	6.643671266E-2	9.369517119E-3	3.331090409E+0
 	0E+0	1.011528978E-6	1.44462E+2	-8.429419939E-7	5.479115889E-7	2.2742E+4	1.3E+1	8E+9	1.107E+3	6.673665267E-2	9.308422344E-3	3.331020038E+0
 	0E+0	8.850883864E-7	1.42254E+2	-7.586477945E-7	5.479115889E-7	2.2743E+4	1.3E+1	8E+9	1.108E+3	6.703659268E-2	9.30372532E-3	3.330967503E+0
 	0E+0	7.165014019E-7	1.4163E+2	-5.900579815E-7	4.214709969E-7	2.2744E+4	1.3E+1	8E+9	1.109E+3	6.733653269E-2	9.308179629E-3	3.331061872E+0
 	0E+0	5.479115889E-7	1.57752E+2	-5.479115889E-7	2.107362056E-7	2.2745E+4	1.3E+1	8E+9	1.11E+3	6.763647271E-2	9.286975312E-3	3.331018092E+0
 	0E+0	1.264411577E-7	-1.61568E+2	-1.685883988E-7	-8.429434081E-8	2.2746E+4	1.3E+1	8E+9	1.111E+3	6.793641272E-2	9.43144723E-3	3.331042414E+0
 	0E+0	2.528825982E-7	9.5196E+1	-4.214709969E-8	2.528825982E-7	2.2747E+4	1.3E+1	8E+9	1.112E+3	6.823635273E-2	9.358704124E-3	3.331108894E+0
 	0E+0	4.214709969E-7	9.6342E+1	-8.429434081E-8	4.214709969E-7	2.2748E+4	1.3E+1	8E+9	1.113E+3	6.853629274E-2	9.23768054E-3	3.331018741E+0
