TDI Format 1.5	Offset	Absorption::R	Absorption::Theta	Absorption::X	Absorption::Y	iterator	multi[0]:iterator	multi[0]:y	multi[1]:iterator	multi[1]:y	multi[1]:Gate Readback std	multi[1]:Gate Readback
Absorption:Option:560 dynamic reserve{Enum U16 ((low noise,high DR,calibration gains))}=calibration gains	0E+0	3.371767975E-7	-6.3438E+1	1.264411577E-7	-3.371767975E-7	5.2E+1	0E+0	4.5E+9	1.01E+2	-2.350029994E-1	1.082207707E-2	3.320656966E+0
Absorption:Option:570 Enabled{Boolean}=False	0E+0	1.685883988E-7	-8.2878E+1	0E+0	-2.107362056E-7	5.3E+1	0E+0	4.5E+9	1.02E+2	-2.347030594E-1	1.063712139E-2	3.320551895E+0
Absorption:Option:570 Filter High Pass{U16}=0	0E+0	1.264411577E-7	-5.9034E+1	4.214709969E-8	-1.264411577E-7	5.4E+1	0E+0	4.5E+9	1.03E+2	-2.344031194E-1	1.083618246E-2	3.320850568E+0
Absorption:Option:570 Filter Lowpass{U16}=0	0E+0	4.214709969E-7	-1.05522E+2	-1.264411577E-7	-4.636173895E-7	5.5E+1	0E+0	4.5E+9	1.04E+2	-2.341031794E-1	1.083081373E-2	3.320811004E+0
Absorption:Option:570 Filter Mode{U16}=0	0E+0	4.636173895E-7	-9.813E+1	-8.429434081E-8	-5.057651963E-7	5.6E+1	0E+0	4.5E+9	1.05E+2	-2.338032394E-1	1.067633415E-2	3.32072377E+0
Absorption:Option:570 Gain Mode{U16}=0	0E+0	1.685883988E-7	6.6798E+1	4.214709969E-8	1.264411577E-7	5.7E+1	0E+0	4.5E+9	1.06E+2	-2.335032993E-1	1.073165233E-2	3.320807761E+0
Absorption:Option:570 Input Offset{U16}=0	0E+0	3.371767975E-7	5.0196E+1	2.107362056E-7	2.528825982E-7	5.8E+1	0E+0	4.5E+9	1.07E+2	-2.332033593E-1	1.085482367E-2	3.320966016E+0
Absorption:Option:570 Input Offset On{Boolean}=False	0E+0	2.528825982E-7	1.49034E+2	-2.528825982E-7	1.264411577E-7	5.9E+1	0E+0	4.5E+9	1.08E+2	-2.329034193E-1	1.08560727E-2	3.321030874E+0
Absorption:Option:570 Sensitivity{U16}=0	0E+0	3.371767975E-7	-1.76424E+2	-3.793246043E-7	-4.214709969E-8	6E+1	0E+0	4.5E+9	1.09E+2	-2.326034793E-1	1.107495492E-2	3.320973799E+0
Absorption:Option:SR570 Comport{Visa Refnum (Void)}=COM1	0E+0	5.057651963E-7	-1.55772E+2	-5.057651963E-7	-2.528825982E-7	6.1E+1	0E+0	4.5E+9	1.1E+2	-2.323035393E-1	1.098872009E-2	3.320824949E+0
Absorption:Option:SR830 Divide by 6221 Ampl{Boolean}=False	0E+0	5.479115889E-7	3.1758E+1	4.636173895E-7	2.950289907E-7	6.2E+1	0E+0	4.5E+9	1.11E+2	-2.320035993E-1	1.054612195E-2	3.320808086E+0
Absorption:Option:SR830 Settle Time{Double Float}=1.000000	0E+0	5.479115889E-7	3.687E+1	4.636173895E-7	3.371767975E-7	6.3E+1	0E+0	4.5E+9	1.12E+2	-2.317036593E-1	1.109777154E-2	3.321113893E+0
Analysis Class{String}=Basic Plot	0E+0	1.264411577E-7	6.3438E+1	4.214709969E-8	1.264411577E-7	6.4E+1	0E+0	4.5E+9	1.13E+2	-2.314037193E-1	1.035086772E-2	3.320514601E+0
Analysis Class Path{Path}=C\\Program Files (x86)\\National Instruments\\LabVIEW 2012\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Plotting\\Plotting_Base_class\\Plotting_Base.lvclass	0E+0	2.528825982E-7	7.002E+1	8.429434081E-8	2.528825982E-7	6.5E+1	0E+0	4.5E+9	1.14E+2	-2.311037792E-1	1.075079443E-2	3.320878457E+0
Analysis.# pre-routines{I32}=0	0E+0	4.214709969E-7	-1.5522E+1	4.214709969E-7	-1.264411577E-7	6.6E+1	0E+0	4.5E+9	1.15E+2	-2.308038392E-1	1.043672014E-2	3.320284678E+0
Control: DAQ Global Channel{Boolean}=True	0E+0	4.636173895E-7	-1.929E+1	4.636173895E-7	-1.685883988E-7	6.7E+1	0E+0	4.5E+9	1.16E+2	-2.305038992E-1	1.056758372E-2	3.320472444E+0
Control: DAQ Maximum Slew Rate{Double Float}=100.000000	0E+0	3.793246043E-7	4.5E+1	2.528825982E-7	2.528825982E-7	6.8E+1	0E+0	4.5E+9	1.17E+2	-2.302039592E-1	1.092310364E-2	3.321482937E+0
Control: DAQ Secondary Level{Double Float}=0.000000	0E+0	3.793246043E-7	1.07352E+2	-1.264411577E-7	3.371767975E-7	6.9E+1	0E+0	4.5E+9	1.18E+2	-2.299040192E-1	1.018288533E-2	3.320234413E+0
Control: DAQ Trigger.Idle state{I32}=10214	0E+0	3.371767975E-7	1.21608E+2	-2.107362056E-7	2.950289907E-7	7E+1	0E+0	4.5E+9	1.19E+2	-2.296040792E-1	1.095884892E-2	3.32073739E+0
Control: DAQ Trigger.Idle state.__text__{String}=Low	0E+0	3.371767975E-7	6.8196E+1	1.264411577E-7	3.371767975E-7	7.1E+1	0E+0	4.5E+9	1.2E+2	-2.293041392E-1	1.044912802E-2	3.320392992E+0
Control: Display{Enum U16 ((Function Generator,Multi-Segment Ramp,List of Values))}=Multi-Segment Ramp	0E+0	8.429434081E-8	5.313E+1	4.214709969E-8	8.429434081E-8	7.2E+1	0E+0	4.5E+9	1.21E+2	-2.290041992E-1	1.101311946E-2	3.321180697E+0
Control: Gate AI{Variable Tag [0]}=Dev1/ai2	0E+0	1.264411577E-7	0E+0	1.264411577E-7	0E+0	7.3E+1	0E+0	4.5E+9	1.22E+2	-2.287042591E-1	1.086749877E-2	3.321158645E+0
Control: Gate AI Config{I32}=10106	0E+0	2.950289907E-7	4.8012E+1	2.107362056E-7	2.107362056E-7	7.4E+1	0E+0	4.5E+9	1.23E+2	-2.284043191E-1	1.06037837E-2	3.320718905E+0
Control: Gate AI Config.__text__{String}=Differential	0E+0	1.264411577E-7	1.2369E+2	-1.264411577E-7	1.264411577E-7	7.5E+1	0E+0	4.5E+9	1.24E+2	-2.281043791E-1	1.084435868E-2	3.320600539E+0
Control: Gate AI Scale{Variable Tag [0]}=	0E+0	5.057651963E-7	-9.7434E+1	-8.429434081E-8	-5.479115889E-7	7.6E+1	0E+0	4.5E+9	1.25E+2	-2.278044391E-1	1.066814714E-2	3.320835975E+0
Control: Gate AO{Variable Tag [0]}=Dev1/ao1	0E+0	2.528825982E-7	-1.0998E+2	-1.264411577E-7	-2.950289907E-7	7.7E+1	0E+0	4.5E+9	1.26E+2	-2.275044991E-1	1.079583127E-2	3.320833056E+0
Control: Gate AO Global{UserDefinedRefnumTag Refnum (Void)}=	0E+0	1.264411577E-7	-1.05948E+2	-8.429434081E-8	-1.685883988E-7	7.8E+1	0E+0	4.5E+9	1.27E+2	-2.272045591E-1	1.0574849E-2	3.320727986E+0
Control: Gate AO Scale{Variable Tag [0]}=	0E+0	5.057651963E-7	-2.6562E+1	4.636173895E-7	-2.528825982E-7	7.9E+1	0E+0	4.5E+9	1.28E+2	-2.269046191E-1	1.059353584E-2	3.320763982E+0
Control: Gate delay{Double Float}=1.000000	0E+0	2.950289907E-7	8.748E+0	2.950289907E-7	4.214709969E-8	8E+1	0E+0	4.5E+9	1.29E+2	-2.266046791E-1	1.070946232E-2	3.320785061E+0
Control: Gate sample rate{Double Float}=10000.000000	0E+0	2.528825982E-7	6.3438E+1	8.429434081E-8	2.107362056E-7	8.1E+1	0E+0	4.5E+9	1.3E+2	-2.263047391E-1	1.072244203E-2	3.320636535E+0
Control: Gate samples{I32}=5000	0E+0	4.214709969E-7	2.238E+1	3.793246043E-7	1.264411577E-7	8.2E+1	0E+0	4.5E+9	1.31E+2	-2.26004799E-1	1.072225266E-2	3.320771441E+0
Control:DAQ Readback on{Boolean}=True	0E+0	6.322057883E-7	3.8994E+1	4.636173895E-7	3.793246043E-7	8.3E+1	0E+0	4.5E+9	1.32E+2	-2.25704859E-1	1.059673813E-2	3.320731553E+0
Control:DAQ Secondary{Boolean}=False	0E+0	6.322057883E-7	3.9288E+1	5.057651963E-7	4.214709969E-7	8.4E+1	0E+0	4.5E+9	1.33E+2	-2.25404919E-1	1.070504425E-2	3.320781818E+0
Control:DAQ Secondary Task{UserDefinedRefnumTag Refnum (Void)}=	0E+0	6.322057883E-7	8.43E+0	6.322057883E-7	8.429434081E-8	8.5E+1	0E+0	4.5E+9	1.34E+2	-2.25104979E-1	1.076811492E-2	3.3208016E+0
Control:DAQ Sign Global{UserDefinedRefnumTag Refnum (Void)}=	0E+0	5.479115889E-7	4.572E+0	5.479115889E-7	4.214709969E-8	8.6E+1	0E+0	4.5E+9	1.35E+2	-2.24805039E-1	1.059333396E-2	3.32072377E+0
Control:DAQ Sign Port{Variable Tag [0]}=Dev1/ao1	0E+0	5.479115889E-7	2.9748E+1	4.636173895E-7	2.528825982E-7	8.7E+1	0E+0	4.5E+9	1.36E+2	-2.24505099E-1	1.079130767E-2	3.320873593E+0
Control:DAQ Trigger{I32}=0	0E+0	5.479115889E-7	2.7642E+1	4.636173895E-7	2.528825982E-7	8.8E+1	0E+0	4.5E+9	1.37E+2	-2.24205159E-1	1.054342412E-2	3.320670262E+0
Control:DAQ Trigger Edge{I32}=10280	0E+0	5.057651963E-7	7.764E+0	5.057651963E-7	4.214709969E-8	8.9E+1	0E+0	4.5E+9	1.38E+2	-2.23905219E-1	1.053027333E-2	3.320828192E+0
Control:DAQ Trigger Edge.__text__{String}=Rising	0E+0	1.264411577E-7	-1.4631E+2	-1.685883988E-7	-1.264411577E-7	9E+1	0E+0	4.5E+9	1.39E+2	-2.236052789E-1	1.077502169E-2	3.320863864E+0
Control:DAQ Trigger Terminal{Variable Tag [0]}=/Dev1/PFI0	0E+0	2.107362056E-7	8.4288E+1	0E+0	2.107362056E-7	9.1E+1	0E+0	4.5E+9	1.4E+2	-2.233053389E-1	1.064568337E-2	3.320859648E+0
Control:DAQ Trigger.__text__{String}=Software	0E+0	4.636173895E-7	8.1468E+1	4.214709969E-8	4.636173895E-7	9.2E+1	0E+0	4.5E+9	1.41E+2	-2.230053989E-1	1.074086769E-2	3.320702042E+0
Control:DAQ Unipolar{Boolean}=False	0E+0	2.950289907E-7	1.20258E+2	-1.685883988E-7	2.528825982E-7	9.3E+1	0E+0	4.5E+9	1.42E+2	-2.227054589E-1	1.061123312E-2	3.320790574E+0
Control:DAQ trigger.Low time{Double Float}=0.001000	0E+0	3.371767975E-7	4.7724E+1	2.107362056E-7	2.528825982E-7	9.4E+1	0E+0	4.5E+9	1.43E+2	-2.224055189E-1	1.079142408E-2	3.320988716E+0
Control:DAQ trigger.delay time{Double Float}=0.000000	0E+0	2.528825982E-7	8.4804E+1	0E+0	2.528825982E-7	9.5E+1	0E+0	4.5E+9	1.44E+2	-2.221055789E-1	1.05483339E-2	3.320737714E+0
Control:DAQ trigger.high time{Double Float}=0.001000	0E+0	2.950289907E-7	8.187E+1	4.214709969E-8	2.950289907E-7	9.6E+1	0E+0	4.5E+9	1.45E+2	-2.218056389E-1	1.08014712E-2	3.320872295E+0
Control:Gate AI Global{UserDefinedRefnumTag Refnum (Void)}=	0E+0	5.057651963E-7	1.7652E+1	5.057651963E-7	1.264411577E-7	9.7E+1	0E+0	4.5E+9	1.46E+2	-2.215056989E-1	1.064710574E-2	3.320812301E+0
Control:Trigger counter{Variable Tag [0]}=Dev1/ctr0	0E+0	2.950289907E-7	-8.13E+0	2.950289907E-7	-8.429434081E-8	9.8E+1	0E+0	4.5E+9	1.47E+2	-2.212057588E-1	1.083029048E-2	3.320872295E+0
Display Panel{Cluster (I32,Enum U16 ((Click,Latch,Unlatch)))}={'Index':3,'Type':Latch}	0E+0	4.214709969E-7	-4.2708E+1	2.950289907E-7	-2.950289907E-7	9.9E+1	0E+0	4.5E+9	1.48E+2	-2.209058188E-1	1.093868286E-2	3.321076924E+0
File:Autodel{Boolean}=True	0E+0	4.214709969E-7	8.97E+0	4.214709969E-7	4.214709969E-8	1E+2	0E+0	4.5E+9	1.49E+2	-2.206058788E-1	1.047461425E-2	3.320758469E+0
File:Autosave{Boolean}=False	0E+0	2.528825982E-7	5.9034E+1	1.264411577E-7	2.107362056E-7	1.01E+2	0E+0	4.5E+9	1.5E+2	-2.203059388E-1	1.05823325E-2	3.320862242E+0
File:Export Config{Boolean}=True	0E+0	2.950289907E-7	3.369E+1	2.528825982E-7	1.685883988E-7	1.02E+2	0E+0	4.5E+9	1.51E+2	-2.200059988E-1	1.05097432E-2	3.320749713E+0
File:Final Autosave{Boolean}=True	0E+0	1.685883988E-7	-2.3202E+1	1.264411577E-7	-8.429434081E-8	1.03E+2	0E+0	4.5E+9	1.52E+2	-2.197060588E-1	1.081233036E-2	3.320860297E+0
Filter:Enable{Enum U16 ((None,Analog,Digital,Analog&Digitial))}=None	0E+0	3.371767975E-7	7.4052E+1	8.429434081E-8	2.950289907E-7	1.04E+2	0E+0	4.5E+9	1.53E+2	-2.194061188E-1	1.061887766E-2	3.32067999E+0
Filter:Points{I32}=1	0E+0	4.636173895E-7	9.5712E+1	-8.429434081E-8	4.636173895E-7	1.05E+2	0E+0	4.5E+9	1.54E+2	-2.191061788E-1	1.097529039E-2	3.320876511E+0
Filter:Type{U16}=1	0E+0	3.371767975E-7	4.251E+1	2.528825982E-7	2.528825982E-7	1.06E+2	0E+0	4.5E+9	1.55E+2	-2.188062388E-1	1.057491322E-2	3.320740633E+0
Filter:Type.__text__{String}=Repeat	0E+0	4.214709969E-8	1.08432E+2	-4.214709969E-8	4.214709969E-8	1.07E+2	0E+0	4.5E+9	1.56E+2	-2.185062987E-1	1.071260157E-2	3.320730904E+0
Filter:Window{Double Float}=1.000000	0E+0	4.214709969E-8	1.8E+2	-8.429434081E-8	0E+0	1.08E+2	0E+0	4.5E+9	1.57E+2	-2.182063587E-1	1.068387523E-2	3.320881051E+0
Gate Readback{Double Float}=3.309184	0E+0	2.107362056E-7	1.59444E+2	-2.107362056E-7	4.214709969E-8	1.09E+2	0E+0	4.5E+9	1.58E+2	-2.179064187E-1	1.057791583E-2	3.320720203E+0
Gate Readback std{Double Float}=0.009158	0E+0	0E+0	-4.5E+1	0E+0	-4.214709969E-8	1.1E+2	0E+0	4.5E+9	1.59E+2	-2.176064787E-1	1.051931486E-2	3.320787331E+0
