# Datafile created by QuickNXS 0.9.39
# Date: 2014-03-13 11:01:11
# Type: Specular
# Input file indices: 15872+15873+15874+15875+15876
# Extracted states: +
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos  y_width  bg_pos  bg_width  dpix  tth  number  File                                            
# 1      0   0   157.7   9        128    82       54      92        158   0    15870   /SNS/REF_M/IPTS-10356/data/REF_M_15870_histo.nxs
# 2      0   0   157.7   9        128    82       54      92        158   0    15871   /SNS/REF_M/IPTS-10356/data/REF_M_15871_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos  y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 4.20727   86    28   167.3   9        133    70       54      92        False        158   0.702693   15872   1      /SNS/REF_M/IPTS-10356/data/REF_M_15872_histo.nxs
# 4.1783    114   6    168.2   9        133    70       54      92        False        158   0.702693   15873   2      /SNS/REF_M/IPTS-10356/data/REF_M_15873_histo.nxs
# 4.51856   114   3    169.5   9        133    70       54      92        False        158   1.22983    15874   2      /SNS/REF_M/IPTS-10356/data/REF_M_15874_histo.nxs
# 2.36048   116   4    171.9   9        133    70       54      92        False        158   2.28737    15875   2      /SNS/REF_M/IPTS-10356/data/REF_M_15875_histo.nxs
# 1.26474   116   3    172.1   9        133    70       54      92        False        158   4.39219    15876   2      /SNS/REF_M/IPTS-10356/data/REF_M_15876_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  20   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
5.298993e-02      	6.785814e-03      	6.049017e-05      	1.531811e-03      	1.805363e-02      
5.392781e-02      	6.308877e-03      	5.801510e-05      	1.559762e-03      	1.805363e-02      
5.421114e-02      	5.680467e-03      	1.934043e-04      	1.619773e-03      	9.154172e-03      
5.489947e-02      	5.377073e-03      	5.377309e-05      	1.588766e-03      	1.805363e-02      
5.590680e-02      	4.361338e-03      	5.095804e-05      	1.618886e-03      	1.805363e-02      
5.695179e-02      	3.166970e-03      	4.257981e-05      	1.650186e-03      	1.805363e-02      
5.803659e-02      	2.163748e-03      	3.408711e-05      	1.682739e-03      	1.805363e-02      
5.916351e-02      	1.673820e-03      	2.906854e-05      	1.716623e-03      	1.805363e-02      
6.033507e-02      	1.645570e-03      	2.829989e-05      	1.751921e-03      	1.805363e-02      
6.155396e-02      	2.059958e-03      	3.143286e-05      	1.788727e-03      	1.805363e-02      
6.282311e-02      	2.662284e-03      	3.560527e-05      	1.827138e-03      	1.805363e-02      
6.414571e-02      	3.220431e-03      	3.874963e-05      	1.867266e-03      	1.805363e-02      
6.552518e-02      	3.462352e-03      	4.002558e-05      	1.909229e-03      	1.805363e-02      
6.696530e-02      	3.140378e-03      	3.774282e-05      	1.953157e-03      	1.805363e-02      
6.847013e-02      	2.366513e-03      	3.225657e-05      	1.999194e-03      	1.805363e-02      
7.004415e-02      	1.702430e-03      	2.700334e-05      	2.047499e-03      	1.805363e-02      
7.169225e-02      	1.252247e-03      	2.293915e-05      	2.098246e-03      	1.805363e-02      
7.341978e-02      	1.224620e-03      	2.296945e-05      	2.151626e-03      	1.805363e-02      
7.523262e-02      	1.315386e-03      	2.396112e-05      	2.207855e-03      	1.805363e-02      
7.713723e-02      	1.364621e-03      	2.396389e-05      	2.267171e-03      	1.805363e-02      
7.914080e-02      	1.106481e-03      	2.214226e-05      	2.329840e-03      	1.805363e-02      
8.125123e-02      	7.963543e-04      	1.891200e-05      	2.396158e-03      	1.805363e-02      
8.347729e-02      	5.129727e-04      	1.506922e-05      	2.466461e-03      	1.805363e-02      
8.582876e-02      	3.781573e-04      	1.287488e-05      	2.541123e-03      	1.805363e-02      
8.831654e-02      	3.684475e-04      	1.336984e-05      	2.620573e-03      	1.805363e-02      
9.095286e-02      	3.270541e-04      	1.314206e-05      	2.705293e-03      	1.805363e-02      
9.375140e-02      	1.728384e-04      	1.015374e-05      	2.795835e-03      	1.805363e-02      
9.672765e-02      	1.084635e-04      	8.627094e-06      	2.892833e-03      	1.805363e-02      
9.989904e-02      	7.876187e-05      	7.988181e-06      	2.997014e-03      	1.805363e-02      
1.032141e-01      	7.912042e-05      	2.002126e-06      	2.959827e-03      	3.639413e-02      
1.032855e-01      	7.906548e-05      	9.282265e-06      	3.109221e-03      	1.805363e-02      
1.049784e-01      	6.755985e-05      	1.822453e-06      	3.011908e-03      	3.639413e-02      
1.068041e-01      	5.050152e-05      	1.562146e-06      	3.065879e-03      	3.639413e-02      
1.086945e-01      	3.214444e-05      	1.268758e-06      	3.121846e-03      	3.639413e-02      
1.106529e-01      	2.379182e-05      	1.120451e-06      	3.179922e-03      	3.639413e-02      
1.126832e-01      	2.512381e-05      	1.205831e-06      	3.240235e-03      	3.639413e-02      
1.147895e-01      	3.246384e-05      	1.322811e-06      	3.302912e-03      	3.639413e-02      
1.169759e-01      	3.231007e-05      	1.275944e-06      	3.368099e-03      	3.639413e-02      
1.192473e-01      	2.604092e-05      	1.120560e-06      	3.435954e-03      	3.639413e-02      
1.216087e-01      	2.198347e-05      	1.021818e-06      	3.506643e-03      	3.639413e-02      
1.240654e-01      	2.491880e-05      	1.072695e-06      	3.580352e-03      	3.639413e-02      
1.266234e-01      	2.813484e-05      	1.133513e-06      	3.657281e-03      	3.639413e-02      
1.292892e-01      	2.559832e-05      	1.075225e-06      	3.737649e-03      	3.639413e-02      
1.320696e-01      	2.584000e-05      	1.073551e-06      	3.821694e-03      	3.639413e-02      
1.349722e-01      	3.126635e-05      	1.156824e-06      	3.909680e-03      	3.639413e-02      
1.380053e-01      	3.832931e-05      	1.244691e-06      	4.001892e-03      	3.639413e-02      
1.411778e-01      	3.555612e-05      	1.187232e-06      	4.098652e-03      	3.639413e-02      
1.444997e-01      	3.036458e-05      	1.098295e-06      	4.200306e-03      	3.639413e-02      
1.479816e-01      	3.207099e-05      	1.145050e-06      	4.307243e-03      	3.639413e-02      
1.516355e-01      	3.185022e-05      	1.145845e-06      	4.419890e-03      	3.639413e-02      
1.554743e-01      	2.275489e-05      	9.653273e-07      	4.538727e-03      	3.639413e-02      
1.595126e-01      	1.889540e-05      	9.161636e-07      	4.664290e-03      	3.639413e-02      
1.637663e-01      	1.690118e-05      	8.811401e-07      	4.797171e-03      	3.639413e-02      
1.682531e-01      	1.483002e-05      	8.220649e-07      	4.938046e-03      	3.639413e-02      
1.729926e-01      	1.202020e-05      	7.554304e-07      	5.087665e-03      	3.639413e-02      
1.780069e-01      	1.215511e-05      	8.170370e-07      	5.246890e-03      	3.639413e-02      
1.833205e-01      	1.166117e-05      	8.313994e-07      	5.416690e-03      	3.639413e-02      
1.889611e-01      	1.071839e-05      	8.450859e-07      	5.598173e-03      	3.639413e-02      
1.949599e-01      	6.971652e-06      	7.529736e-07      	5.792614e-03      	3.639413e-02      
2.013520e-01      	5.285282e-06      	7.099552e-07      	6.001472e-03      	3.639413e-02      
2.081775e-01      	4.776218e-06      	7.758920e-07      	6.226444e-03      	3.639413e-02      
2.154820e-01      	4.234749e-06      	6.982723e-07      	6.469499e-03      	3.639413e-02      
